description,category,deadline_proximity,vulnerability_score,urgency_label
"Bridge collapse poses serious risk, engineers dispatched",Security,20,95,Low
New school materials needed for underprivileged children,Logistics,16,6,Critical
Logistical delays affecting food distribution in remote villages,Education,25,66,High
Educational program for refugees requires immediate funding,Logistics,22,84,High
Relief efforts delayed due to severe weather conditions,Logistics,13,92,Low
New school materials needed for underprivileged children,Infrastructure,27,75,Low
"Security threat detected in urban sector, immediate action required",Education,19,4,Low
"Cybersecurity breach in government systems, containment underway",Education,17,79,Medium
"Bridge collapse poses serious risk, engineers dispatched",Education,4,6,Low
Urgent need for medical supplies in rural areas,Logistics,12,94,High
"Security threat detected in urban sector, immediate action required",Security,29,51,Low
"Security threat detected in urban sector, immediate action required",Education,9,62,High
"Cybersecurity breach in government systems, containment underway",Logistics,19,57,Critical
"Healthcare crisis reported, emergency response team needed",Infrastructure,12,66,Medium
"Cybersecurity breach in government systems, containment underway",Security,9,79,Critical
"Healthcare crisis reported, emergency response team needed",Infrastructure,7,75,Critical
"Healthcare crisis reported, emergency response team needed",Security,28,8,High
Logistical delays affecting food distribution in remote villages,Logistics,14,26,Critical
Logistical delays affecting food distribution in remote villages,Medical,20,51,High
Road repairs required due to heavy rainfall damage,Security,19,45,Low
Educational program for refugees requires immediate funding,Infrastructure,26,44,Low
Educational program for refugees requires immediate funding,Logistics,15,5,High
Urgent need for medical supplies in rural areas,Security,16,70,Low
Educational program for refugees requires immediate funding,Medical,21,26,Medium
Logistical delays affecting food distribution in remote villages,Medical,5,68,Critical
Road repairs required due to heavy rainfall damage,Education,3,19,Medium
Road repairs required due to heavy rainfall damage,Education,12,84,Critical
"Healthcare crisis reported, emergency response team needed",Infrastructure,25,97,Low
"Cybersecurity breach in government systems, containment underway",Security,20,20,Medium
Urgent need for medical supplies in rural areas,Security,27,12,Low
"Healthcare crisis reported, emergency response team needed",Education,21,47,Critical
"Cybersecurity breach in government systems, containment underway",Security,4,1,High
Educational program for refugees requires immediate funding,Security,21,90,High
"Healthcare crisis reported, emergency response team needed",Medical,23,14,Medium
New school materials needed for underprivileged children,Education,16,64,Low
Educational program for refugees requires immediate funding,Logistics,25,38,Low
"Cybersecurity breach in government systems, containment underway",Education,7,37,Medium
Urgent need for medical supplies in rural areas,Logistics,13,11,High
"Cybersecurity breach in government systems, containment underway",Medical,21,77,Critical
"Healthcare crisis reported, emergency response team needed",Infrastructure,10,3,Medium
"Healthcare crisis reported, emergency response team needed",Security,26,33,Critical
"Security threat detected in urban sector, immediate action required",Medical,7,6,High
Urgent need for medical supplies in rural areas,Security,14,50,Low
Relief efforts delayed due to severe weather conditions,Infrastructure,26,10,High
Educational program for refugees requires immediate funding,Infrastructure,5,5,Medium
Road repairs required due to heavy rainfall damage,Medical,3,23,Low
Urgent need for medical supplies in rural areas,Infrastructure,23,10,Medium
Road repairs required due to heavy rainfall damage,Logistics,29,44,Medium
Urgent need for medical supplies in rural areas,Infrastructure,11,2,High
Urgent need for medical supplies in rural areas,Security,11,13,Medium
"Cybersecurity breach in government systems, containment underway",Security,18,40,High
Urgent need for medical supplies in rural areas,Security,15,2,Low
"Security threat detected in urban sector, immediate action required",Security,12,84,High
Relief efforts delayed due to severe weather conditions,Logistics,9,65,Low
"Healthcare crisis reported, emergency response team needed",Education,10,63,High
"Bridge collapse poses serious risk, engineers dispatched",Medical,26,73,Critical
Road repairs required due to heavy rainfall damage,Security,12,17,Critical
"Healthcare crisis reported, emergency response team needed",Infrastructure,17,9,Medium
"Bridge collapse poses serious risk, engineers dispatched",Security,29,75,High
Relief efforts delayed due to severe weather conditions,Infrastructure,6,15,High
